Postcode,Suburb,State,Lat,Lon
3003,WEST MELBOURNE,VIC,-37.806255,144.941123
3006,SOUTHBANK,VIC,-37.823258,144.965926
3008,DOCKLANDS,VIC,-37.814719,144.948039
3011,FOOTSCRAY,VIC,-37.79977,144.899587
3011,SEDDON,VIC,-37.808769,144.895486
3012,KINGSVILLE,VIC,-37.812635,144.881803
3012,MAIDSTONE,VIC,-37.782096,144.874299
3012,TOTTENHAM,VIC,-37.799065,144.857829
3012,WEST FOOTSCRAY,VIC,-37.797701,144.879924
3013,YARRAVILLE,VIC,-37.816178,144.889774
3015,NEWPORT,VIC,-37.842477,144.883145
3015,SOUTH KINGSVILLE,VIC,-37.833627,144.870742
3015,SPOTSWOOD,VIC,-37.82967,144.885078
3016,WILLIAMSTOWN,VIC,-37.856902,144.897698
3016,WILLIAMSTOWN NORTH,VIC,-37.857681,144.887041
3031,FLEMINGTON,VIC,-37.788375,144.931472
3031,KENSINGTON,VIC,-37.794333,144.929217
3032,ASCOT VALE,VIC,-37.77583,144.923377
3032,MARIBYRNONG,VIC,-37.772229,144.886116
3032,TRAVANCORE,VIC,-37.777773,144.929915
3039,MOONEE PONDS,VIC,-37.765707,144.919163
3040,ABERFELDIE,VIC,-37.75669,144.896259
3040,ESSENDON,VIC,-37.754973,144.917407
3040,ESSENDON WEST,VIC,-37.753802,144.888271
3044,PASCOE VALE SOUTH,VIC,-37.739198,144.945722
3051,NORTH MELBOURNE,VIC,-37.905996,145.056254
3052,PARKVILLE,VIC,-37.788531,144.947731
3054,CARLTON NORTH,VIC,-37.784337,144.969747
3054,PRINCES HILL,VIC,-37.780995,144.962792
3055,BRUNSWICK WEST,VIC,-37.762489,144.961176
3056,BRUNSWICK,VIC,-37.764829,144.943778
3057,BRUNSWICK EAST,VIC,-37.76491,144.979567
3058,COBURG,VIC,-37.743188,144.966279
3066,COLLINGWOOD,VIC,-37.800366,144.984149
3067,ABBOTSFORD,VIC,-37.801781,144.998752
3068,CLIFTON HILL,VIC,-37.788118,144.992067
3068,FITZROY NORTH,VIC,-37.7834,144.984688
3070,NORTHCOTE,VIC,-37.769857,144.995276
3071,THORNBURY,VIC,-37.75504,144.998589
3072,PRESTON,VIC,-37.738736,145.000515
3078,ALPHINGTON,VIC,-37.780767,145.03116
3078,FAIRFIELD,VIC,-37.776946,145.018479
3079,IVANHOE,VIC,-37.76964,145.041425
3079,IVANHOE EAST,VIC,-37.77283,145.059401
3101,KEW,VIC,-37.797982,145.053727
3102,KEW EAST,VIC,-37.796246,145.049017
3103,BALWYN,VIC,-37.809701,145.082303
3104,BALWYN NORTH,VIC,-37.792835,145.071727
3121,BURNLEY,VIC,-37.826869,145.007098
3121,CREMORNE,VIC,-37.829719,144.990346
3121,RICHMOND,VIC,-37.818587,144.999181
3122,HAWTHORN,VIC,-37.834855,145.052097
3123,HAWTHORN EAST,VIC,-37.782254,145.001811
3124,CAMBERWELL,VIC,-37.824818,145.057957
3126,CANTERBURY,VIC,-37.824249,145.073114
3141,SOUTH YARRA,VIC,-37.837883,144.991123
3142,TOORAK,VIC,-37.84216,145.017966
3143,ARMADALE NORTH,VIC,-37.828845,145.007261
3144,KOOYONG,VIC,-37.840702,145.032101
3144,MALVERN,VIC,-37.861427,145.028508
3145,CAULFIELD EAST,VIC,-37.875412,145.041976
3145,MALVERN EAST,VIC,-37.87837,145.067892
3146,GLEN IRIS,VIC,-37.854687,145.067215
3161,CAULFIELD NORTH,VIC,-37.901678,145.02357
3162,CAULFIELD,VIC,-37.880479,145.026806
3162,CAULFIELD SOUTH,VIC,-37.886903,145.021979
3181,PRAHRAN,VIC,-37.849577,144.993714
3181,WINDSOR,VIC,-37.856159,144.9922
3182,ST KILDA,VIC,-37.867573,144.978814
3182,ST KILDA WEST,VIC,-37.860901,144.972523
3183,BALACLAVA,VIC,-37.869023,144.995478
3183,ST KILDA EAST,VIC,-37.866458,145.000047
3184,ELWOOD,VIC,-37.888121,144.985026
3185,ELSTERNWICK,VIC,-37.884724,145.004153
3185,GARDENVALE,VIC,-37.896915,145.005249
3185,RIPPONLEA,VIC,-37.876692,144.996194
3205,SOUTH MELBOURNE,VIC,-37.93291,145.033718
3206,ALBERT PARK,VIC,-37.840705,144.95571
3206,MIDDLE PARK,VIC,-37.849721,144.965136
3207,PORT MELBOURNE,VIC,-37.975682,145.030468
3381,BELLFIELD,VIC,-37.228577,142.480053
8001,MELBOURNE,VIC,-38.365017,144.76592
8002,EAST MELBOURNE,VIC,-38.105449,145.147855
8507,CARLTON,VIC,-37.960325,145.215601
8538,BRUNSWICK,VIC,-37.794105,144.979191
8557,FITZROY,VIC,-37.859514,144.977808
8576,IVANHOE,VIC,-37.764016,145.044798
8622,HAWTHORN,VIC,-37.88986,145.021417
